dataset,model,model_family,tuned,split,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
NASA,Ours,ARCF-TCN,True,test,0.009143876248426627,0.004837257932590848,0.6142214250091826,0.9898503313904232,5.848449458950199,0.19769599470577182,7071.33028138837,58273.0,0.22229385375976562
CALCE,Ours,ARCF-TCN,True,test,0.010012650697212386,0.004643646585608591,0.7685619633049314,0.9974997953952648,21.552323917043395,0.1668878053068336,7201.204264485139,58273.0,0.22229385375976562
NASA,VMD-XGBoost,VMD-XGBoost,True,test,0.018385918145052176,0.011788345561852511,1.5723392664586704,0.9589643017485194,0.25411041593179107,0.0008463929491810596,1186294.1395088884,0.0,0.0
NASA,EMD-XGBoost,EMD-XGBoost,True,test,0.02525590228818372,0.015945204985197806,2.1597744825679395,0.922568626959572,0.1992482499917969,0.0008231590008308195,1217899.7674347174,0.0,0.0
NASA,CEEMDAN-XGBoost,CEEMDAN-XGBoost,True,test,0.04520206808941429,0.027796717222867813,3.6991121675732965,0.7519679553570944,0.20449775108136237,0.0008224249412195787,1217623.3200919703,0.0,0.0
NASA,Wavelet-XGBoost,Wavelet-XGBoost,True,test,0.01837827153410346,0.011679248030615064,1.5603716103793002,0.9589984277319448,0.243320667068474,0.0008277086267554575,1215777.7869584952,0.0,0.0
CALCE,VMD-XGBoost,VMD-XGBoost,True,test,0.019257738555840877,0.009403761915237476,2.173024536304627,0.9907511445406164,0.3049241240369156,0.00046228866962301225,2164016.35671888,0.0,0.0
CALCE,EMD-XGBoost,EMD-XGBoost,True,test,0.041434768946343084,0.013936044061804454,4.052994170167334,0.9571838845883317,0.26460600015707314,0.00047467159108907517,2109823.6149257757,0.0,0.0
CALCE,CEEMDAN-XGBoost,CEEMDAN-XGBoost,True,test,0.02709114965256792,0.014051449269815912,2.9590115686961234,0.9816965781087055,0.2935198319610208,0.0004709636488459488,2123600.3461179305,0.0,0.0
CALCE,Wavelet-XGBoost,Wavelet-XGBoost,True,test,0.01906427598009463,0.008845219344612252,2.0764717803629273,0.9909360384973575,0.2959699999773875,0.0004654608532790456,2148457.3783283597,0.0,0.0
